property_type,property_price,property_address,property_details,property_area,property_description,property_mls_info
Land,"$228,000 ","740 E California St, Ontario, CA 91761",- beds | - bath | year built in: -,-,USED TO BE ZONED M3 BUT THE CITY OF ONTARIO HAS CHANGED THE ZONING TO C3 BUT ALWAYS CHECK WITH THE CITY AS THEY ARE REALLY PUSHING FOR WAREHOUSE DEVELOPMENT. THIS LOT IS RIGHT THE MIDDLE OF ONE LOT TO THE EAST AND 1 LOT TO THE WEST. HIGH END INDUSTRIAL/COMMERCIAL WAREHOUSE LOCATED DIRECTLY ACROSS THE STREET. THE ENTIRE STEET OF CALIFORNIA JUST RIGHT FOR DEVELOPMENT AS IT IS NOW ALREADY 55% DEVELOPED WITH NEW WAREHOUSE SPACE! OWNER MOTIVATED SUBMIT. SEWER CONNECTION RIGHT IN FRONT OF THE LOT AND POWER LINES AT LOT.,"Garage/Parking : Garage, Garage: 2 Car(s)"
Condominium,"$650,000 ","330 W California Bld #301, Pasadena, CA 91105",2 beds | 3 bath | year built in: 1974,"1,754","2 BEDROOM 3 BATH WITH 1754 SQFT NEED WORK. BANK APPROVED $650,000 AS IS .",Elementary District : Arcadia Unified
Manufactured In Park,"$59,900 ","950 California #109, Calimesa, CA 92320",2 beds | 1 bath | year built in: 1969,-,"PRICE REDUCED!!WELCOME HOME! THIS NEWLY REMODELED BEAUTY IS ONE YOU WONT WANT TO MISS. THIS HOME INCLUDES LAMINATE FLOORING AND CARPET, CENTRAL A/C AND HEAT, TANKLESS WATERHEATER, NEWER TUB ,SHOWER, TOILETS, SINKS, FAUCETS ,DISHWASHER, KITCHEN ISLAND. WASHER/ DRYER AND REFRIGERATOR ARE INCLUDED. THIS HOME ALSO HAS A SECTION WITH A NICE GARDEN INCLUDING A PEACH TREE, FIG TREE AND 4 GRAPEVINES. CALL FOR AN APPOINTMENT TODAY!",High School District : Arcadia Unified
Single Family Residence,"$1,989,000 ","413 California St, Huntington Beach, CA 92648",3 beds | 4/1 bath | year built in: 2019,"3,366","Very motivated sellers! New 2019 construction on an oversized lot with over 3,360 sq ft of ultra-clean design and rich textures from this contemporary new home in Downtown HB. The property features multiple outside decks for entertaining, including an oversized enclosed front yard with a fire pit and built-in BBQ. The main floor boasts a large gourmet kitchen with an oversized island with seating for five, premium stainless appliances, large dramatic wine wall that holds up to 98 bottles, gorgeous waterfall floating staircase and open concept floor plan flowing to the dining and living rooms. Take the elevator to the second floor to discover a master retreat with your private en-suite spa. The third floor has a multi-purpose room with a private full bathroom, built- in BBQ, outside gas fireplace with plenty of room to entertain. This home is built the finest finishes and in an ideal beach location walking distance to Pacific City and the world-famous Huntington Pier.",Unit Levels : -
Single Family Residence,"$1,988,000 ","224 N California Ave, Palo Alto, CA 94301",2 beds | 1/1 bath | year built in: 1934,886,Walk to Cal Ave and Caltrain * Most Inexpensive Single Family Home in Old Palo Alto * Excellent Starter Home or Executive Suite * Since last on the market many updates have been done * Remodeled bathroom and new hardwood floors* New heater and airconditioning*,Sewer : -
Business Opportunity,"$60,000 ","1251 California Dr, Burlingame, CA 94010",- beds | - bath | year built in: -,"6,000",,Water : -
Single Family Residence,"$1,699,000 ","1011 California St, Huntington Beach, CA 92648",3 beds | 2/1 bath | year built in: 2019,"3,333","Fantastic location and value for this newly constructed downtown home with contemporary open concept floorplan.  Sleek finish work, hard surface flooring throughout and custom wrought iron railings.  First level is all about entertaining!  Gourmet kitchen features expansive island with lustrous quartz slab and built in Jenn Air appliances.  Entire first floor is open and inclusive of spacious family room with fireplace, formal dining area, and living room with bi-fold doors opening to enormous outdoor living area. All three bedrooms on second level are spacious and have their own baths, the master bedroom suite features a fireplace and balcony with panoramic city lights and mountain views.  Also on the second level is an open office area or second family room, plus separate laundry room with washer and dryer.  Third story bonus room has .75 bath plus two view decks, ideal for watching fireworks on the Fourth of July!  Ideal location on the quiet side of downtown, walking distance to Pacific City, Main Street and the Pier.",HOA Fee : $175
Land,"$240,000 ","0 California, Winchester, CA ",- beds | - bath | year built in: -,-,8.22 ACRES  OF LAND - Just off Simpson on California.,Complex Amenities : Playground
Land,"$10,900 ","0 California Ave, Joshua Tree, CA 92252",- beds | - bath | year built in: -,-,"Beautiful 2.23 Ares Lot with mountain views and the national park.  Property is 15 minutes downtown from Joshua Tree.   Buyer to do their due diligence and verify zoning, property lines, utilities, (close by) etc.  Property adjacent on back side available also!  Ever dream of almost 5 acres of flat land with amazing views?  Make us an offer on one or both!",Zoning : ARR3YY
Single Family Residence,"$5,500,000 ","1378-1390 California St, Mountain View, CA 94041",4 beds | 2 bath | year built in: 1947,"2,425","Location! Location!  TWO HOMES on ONE LOT 1390 and 1378 California St. Right in the heart of Silicon Valley and just blocks from Google and downtown.Two separate homes on one lot, both with street front access.  Main is a 3/1  and a separate studio and a second house is 1/1 with 800 sq ft. Perfect for investment, in-law quarters or granny flat. Perfect for investor or possible development to a greater and better use.",MLS # : CRSB20010751
Land,"$104,888 ","0 California Ave, Victorville, CA ",- beds | - bath | year built in: -,-,"Lot # 168, located on California Ave, cross street Civic Dr, walking distance to Victorville Court House & Civic Center, 5000 sq.ft office
bldg can easily be built, Flat lot, no grading involved, driveway is already built. This lot is located between 2 office buildings.",MLS Source : CRMLS
Land,"$300,000 ","0 California, Calimesa, CA 92320",- beds | - bath | year built in: -,-,"This level parcel of land, 2.91 acres is in a fabulous location of established homes and across from a rural open setting. There is an expired tentative map, with conditions of approval from 2004. The tentative approval was for 15 lots. Sewer is in the street and it appears to run along the rear of the property. Aerial view and expired tentative maps are under the listing supplements link. This is a must see piece of development land.",Days on Site : 4
