property_type,property_price,property_description,property_address,property_hyperlink
house for sale,"$595,000",2 Beds | 1 Bath | 756 Sq. Ft.,"3327 Meade Ave, San Diego, CA 92116",https://www.redfin.com/CA/San-Diego/3327-Meade-Ave-92116/home/5323712
house for sale,"$1,649,800","5 Beds | 3 Baths | 2,245 Sq. Ft.","3773 Armour Ct, Fremont, CA 94555",https://www.redfin.com/CA/Fremont/180-Estrella-Rd-94539/home/1108452
house for sale,"$1,920,000","4 Beds | 3 Baths | 2,769 Sq. Ft.","44137 Boitano Dr, Fremont, CA 94539",https://www.redfin.com/CA/Fremont/4643-Cerritos-Ave-94536/home/759869
house for sale,"$1,499,800","4 Beds | 2.5 Baths | 2,100 Sq. Ft.","514 Acoma Way, Fremont, CA 94539",https://www.redfin.com/CA/Fremont/6002-Pompei-Ter-94555/unit-127/home/1600030
house for sale,"$799,990","2 Beds | 2.5 Baths | 1,496 Sq. Ft.","221 Bridalveil Falls Cmn Unit 101H, Fremont, CA 94539",https://www.redfin.com/CA/Fremont/4118-Norris-Rd-94536/home/1351633
house for sale,"$699,888","2 Beds | 2.5 Baths | 1,213 Sq. Ft.","36045 Vallee Ter, Fremont, CA 94536",https://www.redfin.com/CA/Laguna-Hills/22212-Caminito-Tasquillo-92653/unit-201/home/5634994
house for sale,"$1,740,000","5 Beds | 3 Baths | 3,103 Sq. Ft.","33672 Pack Horse St, FREMONT, CA 94555",https://www.redfin.com/CA/Irvine/24-Carver-92620/home/4795453
house for sale,"$1,579,000","3 Beds | 2 Baths | 1,881 Sq. Ft.","180 Estrella Rd, Fremont, CA 94539-3027",https://www.redfin.com/CA/Irvine/44-Eagle-Pt-92604/unit-24/home/5506167
house for sale,"$950,000","4 Beds | 3 Baths | 1,900 Sq. Ft.","4643 Cerritos Ave, Fremont, CA 94536-5556",https://www.redfin.com/CA/Irvine/162-Milky-Way-92618/home/169481386
house for sale,"$1,168,000","3 Beds | 3 Baths | 1,783 Sq. Ft.","6002 Pompei Ter #127, Fremont, CA 94555",https://www.redfin.com/CA/Irvine/1119-Abelia-92606/home/12253351
house for sale,"$1,489,950","4 Beds | 2 Baths | 2,175 Sq. Ft.","4118 Norris Rd, FREMONT, CA 94536",https://www.redfin.com/CA/Irvine/198-Cherrybrook-Ln-92618/home/5482381
house for sale,"$1,025,000","4 Beds | 3.5 Baths | 2,115 Sq. Ft.","38232 Luma Ter, Newark, CA 94560",https://www.redfin.com/CA/Irvine/55-Agostino-92614/home/5554116
house for sale,"$974,999","3 Beds | 2.5 Baths | 1,864 Sq. Ft.","3538 Altamira Ter, Fremont, CA 94536",https://www.redfin.com/CA/Irvine/10-Clocktower-92620/home/7203310
house for sale,"$1,190,000","4 Beds | 2 Baths | 1,942 Sq. Ft.","35476 Morley Pl, Fremont, CA 94536",https://www.redfin.com/CA/Irvine/90-Tallowood-92618/home/112722727
house for sale,"$1,499,000","4 Beds | 3.5 Baths | 2,223 Sq. Ft.","43151 Calle Familia, Fremont, CA 94539",https://www.redfin.com/CA/Irvine/31-Twin-Gables-92620/home/12257275
house for sale,"$1,029,000","3 Beds | 3.5 Baths | 1,475 Sq. Ft.","40981 Fairmont Ter, Fremont, CA 94538",https://www.redfin.com/CA/Tustin/3201-Nectarine-St-92782/home/7219443
house for sale,"$998,800","3 Beds | 2 Baths | 1,390 Sq. Ft.","5558 Tyler Ct, Fremont, CA 94538",https://www.redfin.com/CA/Irvine/14922-Laurelgrove-Cir-92604/home/4666401
house for sale,"$1,299,000","4 Beds | 2.5 Baths | 1,828 Sq. Ft.","2543 Abaca Way, Fremont, CA 94539",https://www.redfin.com/CA/Irvine/103-Oasis-92620/home/58556036
house for sale,"$1,149,800","3 Beds | 2 Baths | 1,688 Sq. Ft.","35235 Cornish Dr, Fremont, CA 94536",https://www.redfin.com/CA/Irvine/79-Bay-Laurel-92620/home/143910243
house for sale,"$949,800","2 Beds | 2 Baths | 1,296 Sq. Ft.","2994 Southwycke Ter, Fremont, CA 94536",https://www.redfin.com/CA/Irvine/43-Visalia-92602/home/5794420
house for sale,"$2,279,800","4 Beds | 4 Baths | 3,829 Sq. Ft.","40883 Gaucho Way, Fremont, CA 94539",https://www.redfin.com/CA/Irvine/3803-Orangewood-92618/home/5841216
house for sale,"$1,649,800","5 Beds | 3 Baths | 2,245 Sq. Ft.","3773 Armour Ct, Fremont, CA 94555",https://www.redfin.com/CA/Irvine/81-Tangelo-92618/unit-305/home/5479684
house for sale,"$1,920,000","4 Beds | 3 Baths | 2,769 Sq. Ft.","44137 Boitano Dr, Fremont, CA 94539",https://www.redfin.com/CA/Tustin/2960-Champion-Way-92782/unit-1908/home/5622918
house for sale,"$1,499,800","4 Beds | 2.5 Baths | 2,100 Sq. Ft.","514 Acoma Way, Fremont, CA 94539",https://www.redfin.com/CA/Irvine/111-Tall-Oak-92603/home/5952064
house for sale,"$799,990","2 Beds | 2.5 Baths | 1,496 Sq. Ft.","221 Bridalveil Falls Cmn Unit 101H, Fremont, CA 94539",https://www.redfin.com/CA/Irvine/1398-Spectrum-92618/home/167385890
house for sale,"$537,000","3 Beds | 2.5 Baths | 1,442 Sq. Ft.","22212 Caminito Tasquillo #201, Laguna Hills, CA 92653",https://www.redfin.com/CA/Irvine/55-Agostino-92614/home/5554116
house for sale,"$1,100,000","4 Beds | 2.5 Baths | 2,453 Sq. Ft.","24 Carver, Irvine, CA 92620",https://www.redfin.com/CA/Irvine/10-Clocktower-92620/home/7203310
house for sale,"$559,900","3 Beds | 2 Baths | 1,150 Sq. Ft.","44 Eagle Pt #24, Irvine, CA 92604",https://www.redfin.com/CA/Irvine/90-Tallowood-92618/home/112722727
house for sale,"$899,800","3 Beds | 2.5 Baths | 1,651 Sq. Ft.","162 Milky Way, Irvine, CA 92618",https://www.redfin.com/CA/Irvine/31-Twin-Gables-92620/home/12257275
house for sale,"$649,000","3 Beds | 3 Baths | 1,523 Sq. Ft.","1119 Abelia, Irvine, CA 92606",https://www.redfin.com/CA/Tustin/3201-Nectarine-St-92782/home/7219443
house for sale,"$799,000","3 Beds | 2.5 Baths | 1,500 Sq. Ft.","198 Cherrybrook Ln, Irvine, CA 92618",https://www.redfin.com/CA/Irvine/14922-Laurelgrove-Cir-92604/home/4666401
house for sale,"$674,888","2 Beds | 2.5 Baths | 1,300 Sq. Ft.","55 Agostino, Irvine, CA 92614",https://www.redfin.com/CA/Irvine/103-Oasis-92620/home/58556036
house for sale,"$1,388,000","4 Beds | 3 Baths | 2,658 Sq. Ft.","10 Clocktower, Irvine, CA 92620",https://www.redfin.com/CA/Irvine/79-Bay-Laurel-92620/home/143910243
house for sale,"$749,000","3 Beds | 2.5 Baths | 1,410 Sq. Ft.","90 Tallowood, Irvine, CA 92620",https://www.redfin.com/CA/Irvine/43-Visalia-92602/home/5794420
house for sale,"$1,049,500","4 Beds | 3.5 Baths | 2,429 Sq. Ft.","31 Twin Gables, Irvine, CA 92620",https://www.redfin.com/CA/Irvine/3803-Orangewood-92618/home/5841216
house for sale,"$1,350,000","5 Beds | 4 Baths | 3,198 Sq. Ft.","3201 Nectarine St, Tustin, CA 92782",https://www.redfin.com/CA/Irvine/81-Tangelo-92618/unit-305/home/5479684
house for sale,"$772,000","3 Beds | 2 Baths | 1,116 Sq. Ft.","14922 Laurelgrove Cir, Irvine, CA 92604",https://www.redfin.com/CA/Tustin/2960-Champion-Way-92782/unit-1908/home/5622918
house for sale,"$862,000","3 Beds | 2.5 Baths | 1,654 Sq. Ft.","103 Oasis, Irvine, CA 92620",https://www.redfin.com/CA/Irvine/111-Tall-Oak-92603/home/5952064
house for sale,"$754,800","3 Beds | 3.5 Baths | 1,541 Sq. Ft.","79 Bay Laurel, Irvine, CA 92620",https://www.redfin.com/CA/Irvine/1398-Spectrum-92618/home/167385890
house for sale,"$785,000","3 Beds | 3 Baths | 1,821 Sq. Ft.","43 Visalia, Irvine, CA 92602",https://www.redfin.com/CA/Oakland/642-Douglas-Ave-94603/home/1142212
house for sale,"$588,800","2 Beds | 2.5 Baths | 1,183 Sq. Ft.","3803 Orangewood, Irvine, CA 92618",https://www.redfin.com/CA/Oakland/2603-E-27th-St-94601/home/538629
house for sale,"$369,000",1 Bed | 1 Bath | 636 Sq. Ft.,"81 Tangelo #305, Irvine, CA 92618",https://www.redfin.com/CA/Oakland/2637-E-16th-St-94601/home/1606572
house for sale,"$499,000","2 Beds | 1 Bath | 1,096 Sq. Ft.","2960 Champion Way #1908, Tustin, CA 92782",https://www.redfin.com/CA/Oakland/4110-Agua-Vista-St-94601/home/550268
house for sale,"$739,000","3 Beds | 3.5 Baths | 1,775 Sq. Ft.","111 Tall Oak, Irvine, CA 92603",https://www.redfin.com/CA/Oakland/314-Hanover-Ave-94606/home/1910475
house for sale,"$991,943","4 Beds | 3 Baths | 1,991 Sq. Ft.","107 Vanguard, Irvine, CA 92618",https://www.redfin.com/CA/Oakland/1130-53rd-St-94608/home/1476320
house for sale,"$537,000","3 Beds | 2.5 Baths | 1,442 Sq. Ft.","22212 Caminito Tasquillo #201, Laguna Hills, CA 92653",https://www.redfin.com/CA/Oakland/199-Montecito-Ave-94610/unit-303/home/526292
house for sale,"$1,100,000","4 Beds | 2.5 Baths | 2,453 Sq. Ft.","24 Carver, Irvine, CA 92620",https://www.redfin.com/CA/Oakland/3322-Morcom-Ave-94619/home/1987001
house for sale,"$559,900","3 Beds | 2 Baths | 1,150 Sq. Ft.","44 Eagle Pt #24, Irvine, CA 92604",https://www.redfin.com/CA/Oakland/1606-14th-St-94607/home/57257065
house for sale,"$899,800","3 Beds | 2.5 Baths | 1,651 Sq. Ft.","162 Milky Way, Irvine, CA 92618",https://www.redfin.com/CA/Oakland/2423-106th-Ave-94603/home/1993093
house for sale,"$649,000","3 Beds | 3 Baths | 1,523 Sq. Ft.","1119 Abelia, Irvine, CA 92606",https://www.redfin.com/CA/Oakland/2839-Modesto-Ave-94619/home/1975165
house for sale,"$799,000","3 Beds | 2.5 Baths | 1,500 Sq. Ft.","198 Cherrybrook Ln, Irvine, CA 92618",https://www.redfin.com/CA/Berkeley/2121-Woolsey-St-94705/home/632998
house for sale,"$674,888","2 Beds | 2.5 Baths | 1,300 Sq. Ft.","55 Agostino, Irvine, CA 92614",https://www.redfin.com/CA/Oakland/3350-Brunell-Dr-94602/home/1030902
house for sale,"$1,388,000","4 Beds | 3 Baths | 2,658 Sq. Ft.","10 Clocktower, Irvine, CA 92620",https://www.redfin.com/CA/Oakland/423-7th-St-94607/unit-111/home/17183884
house for sale,"$749,000","3 Beds | 2.5 Baths | 1,410 Sq. Ft.","90 Tallowood, Irvine, CA 92620",https://www.redfin.com/CA/Oakland/801-Franklin-St-94607/unit-517/home/1963582
house for sale,"$1,049,500","4 Beds | 3.5 Baths | 2,429 Sq. Ft.","31 Twin Gables, Irvine, CA 92620",https://www.redfin.com/CA/Oakland/7882-Plymouth-St-94621/home/1964746
house for sale,"$1,350,000","5 Beds | 4 Baths | 3,198 Sq. Ft.","3201 Nectarine St, Tustin, CA 92782",https://www.redfin.com/CA/Oakland/4326-Hyacinth-Ave-94619/home/1964515
house for sale,"$772,000","3 Beds | 2 Baths | 1,116 Sq. Ft.","14922 Laurelgrove Cir, Irvine, CA 92604",https://www.redfin.com/CA/Oakland/Undisclosed-address-94621/home/1888897
house for sale,"$862,000","3 Beds | 2.5 Baths | 1,654 Sq. Ft.","103 Oasis, Irvine, CA 92620",https://www.redfin.com/CA/Oakland/6751-Skyview-Dr-94605/home/143116470
house for sale,"$754,800","3 Beds | 3.5 Baths | 1,541 Sq. Ft.","79 Bay Laurel, Irvine, CA 92620",https://www.redfin.com/CA/Oakland/6741-Skyview-Dr-94605/home/143116462
house for sale,"$499,000","4 Beds | 2 Baths | 1,514 Sq. Ft.","642 Douglas Ave, Oakland, CA 94603",https://www.redfin.com/CA/Oakland/199-Montecito-Ave-94610/unit-303/home/526292
house for sale,"$785,000","4 Beds | 4 Baths | 2,396 Sq. Ft.","2603 E 27th St, Oakland, CA 94601",https://www.redfin.com/CA/Oakland/3322-Morcom-Ave-94619/home/1987001
house for sale,"$850,000","4 Beds | 4 Baths | 4,192 Sq. Ft.","2637 E 16th St, Oakland, CA 94601",https://www.redfin.com/CA/Oakland/1606-14th-St-94607/home/57257065
house for sale,"$745,888","3 Beds | 2 Baths | 1,162 Sq. Ft.","4110 Aqua Vista St,, Oakland, CA 94601",https://www.redfin.com/CA/Oakland/2423-106th-Ave-94603/home/1993093
house for sale,"$829,000","4 Beds | 2 Baths | 2,585 Sq. Ft.","314 Hanover Ave, Oakland, CA 94606",https://www.redfin.com/CA/Oakland/2839-Modesto-Ave-94619/home/1975165
house for sale,"$650,000","2 Beds | 1 Bath | 1,149 Sq. Ft.","1130 53rd. St, Oakland, CA 94608",https://www.redfin.com/CA/Berkeley/2121-Woolsey-St-94705/home/632998
house for sale,"$650,000","2 Beds | 2 Baths | 1,136 Sq. Ft.","199 Montecito Ave #303, Oakland, CA 94610",https://www.redfin.com/CA/Oakland/3350-Brunell-Dr-94602/home/1030902
house for sale,"$850,000","2 Beds | 1.5 Baths | 1,308 Sq. Ft.","3322 Morcom Ave, Oakland, CA 94619",https://www.redfin.com/CA/Oakland/423-7th-St-94607/unit-111/home/17183884
house for sale,"$649,000","3 Beds | 2 Baths | 1,360 Sq. Ft.","1606 14Th St, Oakland, CA 94607",https://www.redfin.com/CA/Oakland/801-Franklin-St-94607/unit-517/home/1963582
house for sale,"$479,000","3 Beds | 2 Baths | 1,546 Sq. Ft.","2423 106th Ave, Oakland, CA 94603",https://www.redfin.com/CA/Oakland/7882-Plymouth-St-94621/home/1964746
house for sale,"$699,000","2 Beds | 2 Baths | 1,342 Sq. Ft.","2839 Modesto Ave, Oakland, CA 94619",https://www.redfin.com/CA/Oakland/4326-Hyacinth-Ave-94619/home/1964515
house for sale,"$1,150,000","4 Beds | 2 Baths | 2,069 Sq. Ft.","2121 Woolsey St, BERKELEY, CA 94705",https://www.redfin.com/CA/Oakland/Undisclosed-address-94621/home/1888897
house for sale,"$1,200,000","4 Beds | 3 Baths | 2,700 Sq. Ft.","3350 Brunell Dr, Oakland, CA 94602",https://www.redfin.com/CA/Oakland/6751-Skyview-Dr-94605/home/143116470
house for sale,"$559,000",1 Bed | 1 Bath | 905 Sq. Ft.,"423 7Th St #111, Oakland, CA 94607",https://www.redfin.com/CA/Oakland/6741-Skyview-Dr-94605/home/143116462
house for sale,"$359,000",1 Bed | 1 Bath | 810 Sq. Ft.,"801 Franklin St #517, Oakland, CA 94607",https://www.redfin.com/CA/Elk-Grove/8751-White-Cedar-Ln-95758/home/19301252
house for sale,"$550,000","3 Beds | 2 Baths | 1,064 Sq. Ft.","7882 Plymouth St, Oakland, CA 94621",https://www.redfin.com/CA/Sacramento/5446-Shennecock-Way-95835/home/19056158
house for sale,"$649,000",2 Beds | 1 Bath | 831 Sq. Ft.,"4326 Hyacinth Ave, Oakland, CA 94619",https://www.redfin.com/CA/Sacramento/7489-Florin-Creek-Ct-95823/home/19373294
house for sale,"$425,500","3 Beds | 1 Bath | 1,055 Sq. Ft.","Undisclosed Address, Oakland, CA 94621",https://www.redfin.com/CA/Sacramento/1231-Nogales-St-95838/home/19170665
house for sale,"$1,099,500","4 Beds | 2.5 Baths | 2,903 Sq. Ft.","6751 Skyview Dr, Oakland, CA 94605",https://www.redfin.com/CA/Sacramento/3275-24th-Ave-95820/home/19410732
house for sale,"$1,230,460","3 Beds | 3.5 Baths | 3,161 Sq. Ft.","6741 Skyview Dr, Oakland, CA 94605",https://www.redfin.com/CA/Sacramento/4260-Alva-Ct-95821/home/19143324
house for sale,"$499,000","4 Beds | 2 Baths | 1,514 Sq. Ft.","642 Douglas Ave, Oakland, CA 94603",https://www.redfin.com/CA/Sacramento/5224-Moonlit-Bay-Way-95835/home/19055530
house for sale,"$785,000","4 Beds | 4 Baths | 2,396 Sq. Ft.","2603 E 27th St, Oakland, CA 94601",https://www.redfin.com/CA/Sacramento/4714-Orange-Grove-Ave-95841/home/19048004
house for sale,"$850,000","4 Beds | 4 Baths | 4,192 Sq. Ft.","2637 E 16th St, Oakland, CA 94601",https://www.redfin.com/CA/Sacramento/3174-Northview-Dr-95833/home/19154849
house for sale,"$745,888","3 Beds | 2 Baths | 1,162 Sq. Ft.","4110 Aqua Vista St,, Oakland, CA 94601",https://www.redfin.com/CA/Sacramento/2905-Lacy-Ln-95821/home/19149396
house for sale,"$829,000","4 Beds | 2 Baths | 2,585 Sq. Ft.","314 Hanover Ave, Oakland, CA 94606",https://www.redfin.com/CA/Sacramento/5001-23rd-St-95822/home/19416972
house for sale,"$650,000","2 Beds | 1 Bath | 1,149 Sq. Ft.","1130 53rd. St, Oakland, CA 94608",https://www.redfin.com/CA/Sacramento/4509-Dunnbury-Way-95842/home/19224405
house for sale,"$650,000","2 Beds | 2 Baths | 1,136 Sq. Ft.","199 Montecito Ave #303, Oakland, CA 94610",https://www.redfin.com/CA/Sacramento/2213-Ione-St-95864/home/19131029
house for sale,"$850,000","2 Beds | 1.5 Baths | 1,308 Sq. Ft.","3322 Morcom Ave, Oakland, CA 94619",https://www.redfin.com/CA/Sacramento/7986-Springarden-Way-95828/home/19068031
house for sale,"$649,000","3 Beds | 2 Baths | 1,360 Sq. Ft.","1606 14Th St, Oakland, CA 94607",https://www.redfin.com/CA/Sacramento/8979-Cabana-Club-Ct-95826/home/19360026
house for sale,"$479,000","3 Beds | 2 Baths | 1,546 Sq. Ft.","2423 106th Ave, Oakland, CA 94603",https://www.redfin.com/CA/Sacramento/4208-Stuppi-Way-95864/home/19130808
house for sale,"$699,000","2 Beds | 2 Baths | 1,342 Sq. Ft.","2839 Modesto Ave, Oakland, CA 94619",https://www.redfin.com/CA/Sacramento/5224-Carrington-St-95819/home/19444422
house for sale,"$1,150,000","4 Beds | 2 Baths | 2,069 Sq. Ft.","2121 Woolsey St, BERKELEY, CA 94705",https://www.redfin.com/CA/Sacramento/3630-Las-Pasas-Way-95864/home/19126650
house for sale,"$1,200,000","4 Beds | 3 Baths | 2,700 Sq. Ft.","3350 Brunell Dr, Oakland, CA 94602",https://www.redfin.com/CA/Sacramento/8-Bingham-Cir-95831/home/19391731
house for sale,"$559,000",1 Bed | 1 Bath | 905 Sq. Ft.,"423 7Th St #111, Oakland, CA 94607",https://www.redfin.com/CA/Sacramento/4000-Innovator-Dr-95834/unit-26101/home/19044124
house for sale,"$409,900","3 Beds | 2 Baths | 1,827 Sq. Ft.","8751 White Cedar Ln, Elk Grove, CA 95758",https://www.redfin.com/CA/Sacramento/5224-Moonlit-Bay-Way-95835/home/19055530
house for sale,"$359,900","3 Beds | 2 Baths | 1,364 Sq. Ft.","5446 Shennecock Way, Sacramento, CA 95835",https://www.redfin.com/CA/Sacramento/4714-Orange-Grove-Ave-95841/home/19048004
house for sale,"$345,000","3 Beds | 2.5 Baths | 1,599 Sq. Ft.","7489 Florin Creek Ct, Sacramento, CA 95823",https://www.redfin.com/CA/Sacramento/3174-Northview-Dr-95833/home/19154849
house for sale,"$269,900","2 Beds | 1 Bath | 1,020 Sq. Ft.","1231 Nogales St, Sacramento, CA 95838",https://www.redfin.com/CA/Sacramento/2905-Lacy-Ln-95821/home/19149396
house for sale,"$350,000","4 Beds | 2 Baths | 1,825 Sq. Ft.","3275 24th Ave, Sacramento, CA 95820",https://www.redfin.com/CA/Sacramento/5001-23rd-St-95822/home/19416972
house for sale,"$335,000","2 Beds | 1 Bath | 1,643 Sq. Ft.","4260 Alva Ct, Sacramento, CA 95821",https://www.redfin.com/CA/Sacramento/4509-Dunnbury-Way-95842/home/19224405
house for sale,"$399,900","4 Beds | 3 Baths | 2,088 Sq. Ft.","5224 Moonlit Bay Way, Sacramento, CA 95835",https://www.redfin.com/CA/Sacramento/2213-Ione-St-95864/home/19131029
house for sale,"$475,000","4 Beds | 2.5 Baths | 2,527 Sq. Ft.","4714 Orange Grove Ave, Sacramento, CA 95841",https://www.redfin.com/CA/Sacramento/7986-Springarden-Way-95828/home/19068031
house for sale,"$259,000","3 Beds | 1 Bath | 1,080 Sq. Ft.","3174 Northview Dr, Sacramento, CA 95833",https://www.redfin.com/CA/Sacramento/8979-Cabana-Club-Ct-95826/home/19360026
house for sale,"$749,000","4 Beds | 4 Baths | 4,020 Sq. Ft.","2905 Lacy Ln, Sacramento, CA 95821",https://www.redfin.com/CA/Sacramento/4208-Stuppi-Way-95864/home/19130808
house for sale,"$468,900","3 Beds | 2 Baths | 1,146 Sq. Ft.","5001 23rd St, Sacramento, CA 95822",https://www.redfin.com/CA/Sacramento/5224-Carrington-St-95819/home/19444422
house for sale,"$315,000","3 Beds | 2 Baths | 1,236 Sq. Ft.","4509 Dunnbury Way, Sacramento, CA 95842",https://www.redfin.com/CA/Sacramento/3630-Las-Pasas-Way-95864/home/19126650
house for sale,"$319,000","3 Beds | 2 Baths | 1,228 Sq. Ft.","2213 Ione St, Sacramento, CA 95864",https://www.redfin.com/CA/Sacramento/8-Bingham-Cir-95831/home/19391731
house for sale,"$359,900","3 Beds | 2 Baths | 1,350 Sq. Ft.","7986 Springarden Way, Sacramento, CA 95828",https://www.redfin.com/CA/Sacramento/4000-Innovator-Dr-95834/unit-26101/home/19044124
house for sale,"$379,900","3 Beds | 2 Baths | 1,393 Sq. Ft.","8979 Cabana Club Ct, Sacramento, CA 95826",https://www.redfin.com/CA/Long-Beach/4724-Montair-Ave-90808/home/7559143
house for sale,"$595,000","3 Beds | 2 Baths | 1,533 Sq. Ft.","4208 Stuppi Way, Sacramento, CA 95864",https://www.redfin.com/CA/Lakewood/5313-Meadow-Wood-Ave-90712/home/7545266
house for sale,"$525,000","3 Beds | 1 Bath | 1,053 Sq. Ft.","5224 Carrington St, Sacramento, CA 95819",https://www.redfin.com/CA/Long-Beach/550-Orange-Ave-90802/unit-233/home/7612266
house for sale,"$934,900","4 Beds | 3 Baths | 2,570 Sq. Ft.","3630 Las Pasas Way, Sacramento, CA 95864",https://www.redfin.com/CA/Lakewood/4944-Lorelei-Ave-90712/home/7554341
house for sale,"$469,000","3 Beds | 2 Baths | 1,371 Sq. Ft.","8 Bingham Cir, Sacramento, CA 95831",https://www.redfin.com/CA/Long-Beach/850-E-Ocean-Blvd-90802/unit-607/home/7611694
house for sale,"$280,000","2 Beds | 2 Baths | 1,156 Sq. Ft.","4000 Innovator Dr #26101, Sacramento, CA 95834",https://www.redfin.com/CA/Long-Beach/512-Almond-Ave-90802/home/7612417
house for sale,"$409,900","3 Beds | 2 Baths | 1,827 Sq. Ft.","8751 White Cedar Ln, Elk Grove, CA 95758",https://www.redfin.com/CA/Long-Beach/1237-E-6th-St-90802/unit-310/home/7612172
house for sale,"$359,900","3 Beds | 2 Baths | 1,364 Sq. Ft.","5446 Shennecock Way, Sacramento, CA 95835",https://www.redfin.com/CA/Long-Beach/270-Molino-Ave-90803/home/7608489
house for sale,"$345,000","3 Beds | 2.5 Baths | 1,599 Sq. Ft.","7489 Florin Creek Ct, Sacramento, CA 95823",https://www.redfin.com/CA/Long-Beach/550-Orange-Ave-90802/unit-301/home/7612285
house for sale,"$269,900","2 Beds | 1 Bath | 1,020 Sq. Ft.","1231 Nogales St, Sacramento, CA 95838",https://www.redfin.com/CA/Long-Beach/204-Esperanza-Ave-90802/unit-204/home/7610971
house for sale,"$350,000","4 Beds | 2 Baths | 1,825 Sq. Ft.","3275 24th Ave, Sacramento, CA 95820",https://www.redfin.com/CA/Long-Beach/335-Cedar-Ave-90802/unit-307/home/7620462
house for sale,"$335,000","2 Beds | 1 Bath | 1,643 Sq. Ft.","4260 Alva Ct, Sacramento, CA 95821",https://www.redfin.com/CA/Long-Beach/3425-Rose-Ave-90807/home/7529728
house for sale,"$399,900","4 Beds | 3 Baths | 2,088 Sq. Ft.","5224 Moonlit Bay Way, Sacramento, CA 95835",https://www.redfin.com/CA/Long-Beach/645-Pacific-Ave-90802/unit-410/home/7616220
house for sale,"$475,000","4 Beds | 2.5 Baths | 2,527 Sq. Ft.","4714 Orange Grove Ave, Sacramento, CA 95841",https://www.redfin.com/CA/Long-Beach/5880-Gardenia-Ave-90805/home/7511153
house for sale,"$259,000","3 Beds | 1 Bath | 1,080 Sq. Ft.","3174 Northview Dr, Sacramento, CA 95833",https://www.redfin.com/CA/Long-Beach/6680-Gundry-Ave-90805/home/7506513
house for sale,"$749,000","4 Beds | 4 Baths | 4,020 Sq. Ft.","2905 Lacy Ln, Sacramento, CA 95821",https://www.redfin.com/CA/Long-Beach/2722-Nipomo-Ave-90815/home/7585479
house for sale,"$468,900","3 Beds | 2 Baths | 1,146 Sq. Ft.","5001 23rd St, Sacramento, CA 95822",https://www.redfin.com/CA/Long-Beach/6841-E-Bacarro-St-90815/home/7588059
house for sale,"$315,000","3 Beds | 2 Baths | 1,236 Sq. Ft.","4509 Dunnbury Way, Sacramento, CA 95842",https://www.redfin.com/CA/Long-Beach/6119-Brayton-Ave-90805/home/7509091
house for sale,"$319,000","3 Beds | 2 Baths | 1,228 Sq. Ft.","2213 Ione St, Sacramento, CA 95864",https://www.redfin.com/CA/Long-Beach/455-E-Ocean-Blvd-90802/unit-605/home/17240812
house for sale,"$359,900","3 Beds | 2 Baths | 1,350 Sq. Ft.","7986 Springarden Way, Sacramento, CA 95828",https://www.redfin.com/CA/Long-Beach/1070-Temple-Ave-90804/unit-204/home/17227617
house for sale,"$678,000","3 Beds | 2 Baths | 1,432 Sq. Ft.","4724 Montair Ave, Long Beach, CA 90808",https://www.redfin.com/CA/Long-Beach/1237-E-6th-St-90802/unit-310/home/7612172
house for sale,"$699,900","5 Beds | 2.5 Baths | 2,210 Sq. Ft.","5313 Meadow Wood Ave, Lakewood, CA 90712",https://www.redfin.com/CA/Long-Beach/270-Molino-Ave-90803/home/7608489
house for sale,"$340,000",1 Bed | 1 Bath | 697 Sq. Ft.,"550 Orange Ave #233, Long Beach, CA 90802",https://www.redfin.com/CA/Long-Beach/550-Orange-Ave-90802/unit-301/home/7612285
house for sale,"$674,800","3 Beds | 2 Baths | 1,463 Sq. Ft.","4944 Lorelei Ave, Lakewood, CA 90712",https://www.redfin.com/CA/Long-Beach/204-Esperanza-Ave-90802/unit-204/home/7610971
house for sale,"$999,900","3 Beds | 2.5 Baths | 1,788 Sq. Ft.","850 E Ocean Blvd #607, Long Beach, CA 90802",https://www.redfin.com/CA/Long-Beach/335-Cedar-Ave-90802/unit-307/home/7620462
house for sale,"$799,000","4 Beds | 2 Baths | 1,490 Sq. Ft.","512 Almond Ave, Long Beach, CA 90802",https://www.redfin.com/CA/Long-Beach/3425-Rose-Ave-90807/home/7529728
house for sale,"$400,000",2 Beds | 1 Bath | 871 Sq. Ft.,"1237 E 6th St #310, Long Beach, CA 90802",https://www.redfin.com/CA/Long-Beach/645-Pacific-Ave-90802/unit-410/home/7616220
house for sale,"$1,069,000","4 Beds | 2.5 Baths | 1,762 Sq. Ft.","270 Molino Ave, Long Beach, CA 90803",https://www.redfin.com/CA/Long-Beach/5880-Gardenia-Ave-90805/home/7511153
house for sale,"$385,000",2 Beds | 2 Baths | 951 Sq. Ft.,"550 Orange Ave #301, Long Beach, CA 90802",https://www.redfin.com/CA/Long-Beach/6680-Gundry-Ave-90805/home/7506513
house for sale,"$329,000",2 Beds | 1 Bath | 802 Sq. Ft.,"204 Esperanza Ave #204, Long Beach, CA 90802",https://www.redfin.com/CA/Long-Beach/2722-Nipomo-Ave-90815/home/7585479
house for sale,"$265,000",1 Bed | 1 Bath | 515 Sq. Ft.,"335 Cedar Ave #307, Long Beach, CA 90802",https://www.redfin.com/CA/Long-Beach/6841-E-Bacarro-St-90815/home/7588059
